resolution,method,n_clusters,n_samples,silhouette_score,calinski_harabasz_score,davies_bouldin_score,spatial_coherence,cross_resolution_consistency,mean_cluster_size,cluster_size_std
8,gaussian_mixture,2,1600,0.8507862924566355,2146.8148698505743,0.8019559281692732,0.10977777777777778,0.0,800.0,700.0
8,hierarchical,2,1600,0.8507862924566355,2146.8148698505743,0.8019559281692732,0.10977777777777778,0.0,800.0,700.0
8,kmeans,2,1600,0.8535700389685965,2173.607893433941,0.7763242699413848,0.11044710048694112,0.0,800.0,706.0
9,gaussian_mixture,2,2025,0.13067051369103738,299.9590194199795,1.9879688202680375,0.0,0.9268392542202066,1012.5,562.5
9,hierarchical,2,2025,0.2939104165894245,964.3744207918918,1.3796350099738004,0.0,0.9405532598714417,1012.5,118.5
9,kmeans,2,2025,0.3068623630938151,1025.8335956530855,1.3430344043105573,0.0,0.9402759590256402,1012.5,103.5
10,gaussian_mixture,2,2550,0.13176279443489528,381.3345444971954,1.9398054296009302,0.0,0.808,1275.0,729.0
10,hierarchical,3,2550,0.2584460657560172,921.8858357480616,1.4396300920306642,0.0,0.8656814449917899,850.0,188.83325978227458
10,kmeans,2,2550,0.3131177691523981,1327.6498559802276,1.3238528380767591,0.0,0.9709653092006033,1275.0,111.0
11,gaussian_mixture,2,3080,0.1298423615653072,456.8398472012504,1.946560654889112,0.0,0.8333333333333333,1540.0,880.0
11,hierarchical,2,3080,0.29514981993538475,1454.3715765928214,1.3523050005285306,0.0,0.9791666666666667,1540.0,332.0
11,kmeans,2,3080,0.3132358028620059,1608.9559803955765,1.3215124190131466,0.0,0.9791666666666667,1540.0,157.0
