k,silhouette,calinski_harabasz,davies_bouldin
2,0.24936430156230927,48894.070515597756,2.2569128379178465
3,0.09011802822351456,33861.20041528203,2.577422016912404
4,0.10375190526247025,34300.866888288954,2.3136261870388672
5,0.1254662126302719,38738.87074580279,2.0674134269149254
6,0.12856435775756836,35226.51749466118,1.875290699448005
7,0.10868122428655624,30928.53687125902,2.20841252687827
8,0.11332624405622482,30022.161540913494,1.9583594592780713
9,0.11698901653289795,30765.079596819,2.1312615864666595
10,0.11212804913520813,26721.019088337933,2.0431859516435695
11,0.1168275848031044,30101.008005709107,2.1531496720873275
12,0.12444877624511719,27421.618824193043,1.9326102450081901
13,0.08407455682754517,27368.914440939916,2.214880174911575
14,0.11505893617868423,26652.039108378045,2.0368522967124623
15,0.1018066555261612,25556.240075966572,2.187497128950827
