region_id,actual,predicted,residual
89196bba15bffff,4.72901753724804,4.18139123916626,0.5476262980817799
891969aadb3ffff,4.96772693874956,4.361975193023682,0.6057517457258781
89196bba1dbffff,4.751781024043356,4.0809736251831055,0.6708073988602505
8919694b267ffff,4.9621592061746,4.237865447998047,0.724293758176553
89196bba027ffff,5.03612600279784,4.153059959411621,0.8830660433862185
891969c9d9bffff,3.4200366878369,4.285882949829102,-0.8658462619922016
891969c836fffff,3.4200366878369,4.2772321701049805,-0.8571954822680805
8919698939bffff,3.4451942027380102,4.228925704956055,-0.7837315022180444
891f164aeb3ffff,3.59738569000712,4.369557857513428,-0.7721721675063078
89196989cdbffff,3.48578005223334,4.253934383392334,-0.768154331158994
