lambda,within_cluster_lbm_var,silhouette_emb,ari_vs_vanilla,spatial_coherence,n_hex_lbm_subset
0.0,4.021604269742966,0.07054845988750458,1.0,0.5119045018150776,130467
0.5,4.027279496192932,0.08408809453248978,0.4377066693615345,0.4662760990676575,130467
1.0,3.973222002387047,0.07443535327911377,0.39666202747795803,0.49170039485274764,130467
2.0,3.650540493428707,0.06681644171476364,0.40874324667235296,0.5386304963360258,130467
3.0,3.207107000052929,0.0434846356511116,0.3342525173070228,0.48722675593932524,130467
5.0,2.4237685054540634,0.005448043812066317,0.275876320925174,0.6196451114042828,130467
8.0,1.962139181792736,-0.01560176257044077,0.13468192134774024,0.608002521559163,130467
12.0,1.9051927775144577,-0.022999407723546028,0.11140344509923789,0.6375313147490128,130467
20.0,1.8566958755254745,-0.024852057918906212,0.09770395283238124,0.6481601856270045,130467
